"Team","Wins","Losses","Ties","WinPct","PF","PA","Pt.Diff","Streak","Home.Wins","Home.Losses","Home.Ties","Road.Wins","Road.Losses","Road.Ties","Div.Wins","Div.Losses","Div.Ties","Conf.Wins","Conf.Losses","Conf.Ties"
"NE",11,3,0,0.786,395,274,121,"W1","4","2",0,"7","1",0,"3","1",0,"8","2",0
"BUF",8,6,0,0.571,264,306,-42,"W2","6","2",0,"2","4",0,"2","2",0,"6","4",0
"MIA",6,8,0,0.429,252,342,-90,"L1","4","3",0,"2","5",0,"2","3",0,"5","5",0
"NYJ",5,9,0,0.357,285,342,-57,"L2","4","3",0,"1","6",0,"2","3",0,"5","5",0
"PIT",11,3,0,0.786,344,278,66,"L1","5","2",0,"6","1",0,"5","0",0,"8","2",0
"BAL",8,6,0,0.571,345,256,89,"W1","4","2",0,"4","4",0,"3","2",0,"6","4",0
"CIN",5,9,0,0.357,233,305,-72,"L3","3","4",0,"2","5",0,"2","3",0,"5","6",0
"CLE",0,14,0,0,207,362,-155,"L14","0","8",0,"0","6",0,"0","5",0,"0","11",0
"JAX",10,4,0,0.714,374,209,165,"W3","6","2",0,"4","2",0,"4","1",0,"9","2",0
"TEN",8,6,0,0.571,296,319,-23,"L2","5","1",0,"3","5",0,"4","1",0,"7","4",0
"HOU",4,10,0,0.286,319,380,-61,"L4","3","4",0,"1","6",0,"1","4",0,"3","7",0
"IND",3,11,0,0.214,225,368,-143,"L5","2","5",0,"1","6",0,"1","4",0,"2","8",0
"KC",8,6,0,0.571,359,302,57,"W2","5","2",0,"3","4",0,"4","1",0,"6","4",0
"LAC",7,7,0,0.5,311,255,56,"L1","4","3",0,"3","4",0,"2","3",0,"4","6",0
"OAK",6,8,0,0.429,281,324,-43,"L2","4","4",0,"2","4",0,"2","3",0,"5","6",0
"DEN",5,9,0,0.357,254,328,-74,"W2","4","3",0,"1","6",0,"2","3",0,"4","7",0
"PHI",12,2,0,0.857,438,279,159,"W2","6","0",0,"6","2",0,"5","0",0,"10","1",0
"DAL",8,6,0,0.571,336,311,25,"W3","3","4",0,"5","2",0,"4","1",0,"6","4",0
"WSH",6,8,0,0.429,305,359,-54,"W1","4","3",0,"2","5",0,"1","4",0,"5","6",0
"NYG",2,12,0,0.143,228,355,-127,"L4","1","6",0,"1","6",0,"0","5",0,"0","10",0
"MIN",11,3,0,0.786,343,242,101,"W1","6","1",0,"5","2",0,"3","1",0,"8","2",0
"DET",8,6,0,0.571,358,339,19,"W2","3","4",0,"5","2",0,"4","1",0,"7","4",0
"GB",7,7,0,0.5,309,333,-24,"L1","4","3",0,"3","4",0,"2","2",0,"5","5",0
"CHI",4,10,0,0.286,234,294,-60,"L1","2","5",0,"2","5",0,"0","5",0,"1","10",0
"NO",10,4,0,0.714,401,282,119,"W1","6","1",0,"4","3",0,"3","1",0,"7","3",0
"CAR",10,4,0,0.714,331,286,45,"W2","5","2",0,"5","2",0,"2","2",0,"6","4",0
"ATL",9,5,0,0.643,318,282,36,"W2","4","3",0,"5","2",0,"3","1",0,"8","2",0
"TB",4,10,0,0.286,285,336,-51,"L4","3","4",0,"1","6",0,"0","4",0,"2","8",0
"LAR",10,4,0,0.714,438,272,166,"W1","4","3",0,"6","1",0,"4","1",0,"7","4",0
"SEA",8,6,0,0.571,321,294,27,"L2","4","3",0,"4","3",0,"4","1",0,"6","4",0
"ARI",6,8,0,0.429,246,337,-91,"L1","4","3",0,"2","5",0,"2","3",0,"3","7",0
"SF",4,10,0,0.286,253,337,-84,"W3","2","5",0,"2","5",0,"0","5",0,"2","9",0
